phase,run_id,group,seed,rollout_seed,step,framework_consistency,operator_case,reward,raw_reward,response_length,truncated_ratio,rollout_kl,train_loss,pg_loss,pg_clipfrac,entropy,ppo_kl,grad_norm,mean_abs_dlogp,max_abs_dlogp,mismatch_count,active_token_count,rollout_time,train_time,step_time,update_weights_time,actor_tokens_per_second,actor_train_tflops
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,0,True,P/P,-3.725290298461914e-09,0.875,6224.5,0.0,0.0,4.0920451283454895e-05,4.0920451283454895e-05,0.00479112658649683,0.2703757882118225,0.0009074220433831215,0.5684469883039317,0.012120857834815979,0.6449768543243408,28793.0,49796.0,66.38983988761902,14.01167893409729,101.14814448356628,15.651453495025635,3664.0339111627586,23.40111855574183
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,1,True,P/P,0.0,0.75,1872.875,0.0,0.0,0.0003606565296649933,0.0003606565296649933,0.004792533814907074,0.2821452021598816,0.0005411133752204478,1.1886790595964172,0.01283409632742405,0.39875030517578125,9735.0,14983.0,18.011947631835938,5.7568440437316895,43.52386736869812,14.786272048950195,2807.3989566640353,16.566681741745942
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,2,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.29148590564727783,0.000903440872207284,0.0,0.012715650722384453,0.6922649145126343,33486.0,57344.0,67.59457468986511,6.333472967147827,93.80023503303528,14.855926275253296,9409.472325643894,61.05110863254142
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,3,True,P/P,0.0,0.5,6640.375,0.375,0.0,0.0001495853066444397,0.0001495853066444397,0.0034133412409573793,0.2758287191390991,0.0006878783460706472,0.5141960051846164,0.012148238718509674,0.7331101894378662,31039.0,53123.0,66.24389886856079,6.377356052398682,92.41868710517883,14.845603227615356,8624.261727074225,55.466679835480456
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,4,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.33314695954322815,0.0008298142347484827,0.0,0.01418837159872055,0.7521541118621826,40089.0,57344.0,67.38078737258911,6.478285074234009,93.4860508441925,14.828738689422607,9100.38983198467,58.96921216057516
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,5,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.3323231339454651,0.0007460463675670326,0.0,0.014367220923304558,0.8157639503479004,38351.0,57344.0,67.46892142295837,6.4851953983306885,93.88024520874023,14.826070547103882,9147.095727236167,59.3224393987542
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,6,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.3847472071647644,0.0011771873105317354,0.0,0.015973418951034546,0.7159717082977295,45156.0,57344.0,67.39624357223511,6.404048681259155,93.97422695159912,15.121649742126465,9222.347001907696,59.77069610880832
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,7,True,P/P,0.0,0.0,4738.5,0.0,0.0,0.0,0.0,0.0,0.4053499698638916,0.0009968606755137444,0.0,0.014486962929368019,0.7170383930206299,26428.0,37908.0,61.20672917366028,5.4058005809783936,86.41077661514282,14.969678401947021,7317.505746853442,45.65465070301993
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,8,True,P/P,-3.725290298461914e-09,0.875,4922.5,0.0,0.0,-0.0001212824136018753,-0.0001212824136018753,0.004630363080650568,0.23015181720256805,0.00084553228225559,0.5951896080068688,0.010534742847084999,0.6438437700271606,22203.0,39380.0,50.92466378211975,5.510761260986328,76.49048089981079,15.153024435043335,7382.185963814407,46.07908735354079
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,9,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.43740057945251465,0.0007440592162311077,0.0,0.016963258385658264,0.7328830361366272,46917.0,57344.0,67.99629330635071,6.38693904876709,94.40991854667664,15.097957134246826,9413.05614001392,61.14723196346941
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,10,True,P/P,1.4901161193847656e-08,0.375,6353.125,0.5,0.0,0.00014613568782806396,0.00014613568782806396,0.003131676698103547,0.3399895429611206,0.000670980429276824,0.6249132096111497,0.013060002587735653,0.7455546855926514,31557.0,50825.0,65.89491367340088,6.322525978088379,92.1033399105072,15.02694821357727,8294.050973737403,53.11322272563074
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,11,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.4585250914096832,0.0006513426778838038,0.0,0.01645077019929886,0.6775834560394287,43997.0,57344.0,67.82830953598022,6.348127365112305,94.12309336662292,14.981138229370117,9389.679960044341,60.92995957088571
