step,log_step_index,g11_reward,g10_reward,g11_reference_kl,g10_reference_kl,g11_kl_loss,g10_kl_loss,g11_response_len_mean_tokens,g10_response_len_mean_tokens,g11_response_len_max_tokens,g10_response_len_max_tokens,g11_rollout_time_s,g10_rollout_time_s,g11_tokens_per_gpu_s,g10_tokens_per_gpu_s,g11_longest_sample_tokens_s,g10_longest_sample_tokens_s,g11_ref_log_probs_time_s,g10_ref_log_probs_time_s,g11_actor_train_time_s,g10_actor_train_time_s,g11_actor_train_tokens_s,g10_actor_train_tokens_s,g11_train_time_s,g10_train_time_s,g11_step_time_s,g10_step_time_s,g11_mismatch_count,g10_mismatch_count,g11_max_abs_diff,g10_max_abs_diff,g11_active_tokens_mean,g10_active_tokens_mean,delta_g11_minus_g10_reward,delta_g11_minus_g10_reference_kl,delta_g11_minus_g10_kl_loss,delta_g11_minus_g10_response_len_mean_tokens,delta_g11_minus_g10_response_len_max_tokens,delta_g11_minus_g10_rollout_time_s,delta_g11_minus_g10_tokens_per_gpu_s,delta_g11_minus_g10_longest_sample_tokens_s,delta_g11_minus_g10_ref_log_probs_time_s,delta_g11_minus_g10_actor_train_time_s,delta_g11_minus_g10_actor_train_tokens_s,delta_g11_minus_g10_train_time_s,delta_g11_minus_g10_step_time_s,delta_g11_minus_g10_mismatch_count,delta_g11_minus_g10_max_abs_diff,delta_g11_minus_g10_active_tokens_mean
1,0,0.265625,0.2890625,0.0,0.0,0.0,0.0,6084.4609375,6096.0703125,7168.0,7168.0,75.51525902748108,141.25830817222595,1289.1616377104983,690.4877048440939,94.92121317350528,50.74391795249721,23.863692045211792,26.11477017402649,116.55882525444031,95.08617210388184,6827.205046575271,8384.57351221369,140.66537046432495,121.47803211212158,236.34011459350586,282.79273891448975,0.0,3980.3046875,0.0,0.6022037267684937,6084.4609375,6096.0703125,-0.0234375,0.0,0.0,-11.609375,0.0,-65.74304914474487,598.6739328664045,44.177295221008066,-2.2510781288146973,21.47265315055847,-1557.3684656384194,19.18733835220337,-46.45262432098389,-3980.3046875,-0.6022037267684937,-11.609375
2,1,0.3359375,0.3828125,0.0,0.0,0.000712860724888742,-1.4674065823783167e-05,5784.3828125,5768.6484375,7168.0,7168.0,90.09214925765991,132.13017749786377,1027.2829071411136,698.5412170621828,79.56298144802616,54.249529787514966,22.43020534515381,23.04313087463379,110.54298210144043,88.58934831619263,6855.7676443408045,8531.985101665374,133.20728874206543,111.86720776557922,243.8365352153778,263.9777925014496,0.0,3834.9453125,0.0,0.6568862199783325,5784.3828125,5768.6484375,-0.046875,0.0,0.0007275347907125251,15.734375,0.0,-42.03802824020386,328.7416900789308,25.3134516605112,-0.6129255294799805,21.953633785247803,-1676.2174573245693,21.340080976486206,-20.141257286071777,-3834.9453125,-0.6568862199783325,15.734375
3,2,0.25,0.1875,0.0,0.0,0.0006669942522421479,-5.290961780701764e-06,6381.171875,6406.703125,7168.0,7168.0,73.77074527740479,143.26961016654968,1384.000522376067,715.4849509315773,97.16588836192068,50.03154536169438,23.570497512817383,25.40219259262085,119.60307955741882,96.56643486022949,6978.867125233859,8677.57001915695,143.40848922729492,122.20473909378052,237.49957275390625,285.64910101890564,0.0,4083.8671875,0.0,0.6736352443695068,6381.171875,6406.703125,0.0625,0.0,0.0006722852140228497,-25.53125,0.0,-69.4988648891449,668.5155714444898,47.1343430002263,-1.8316950798034668,23.03664469718933,-1698.7028939230913,21.203750133514404,-48.14952826499939,-4083.8671875,-0.6736352443695068,-25.53125
4,3,0.4609375,0.4140625,0.0,0.0,0.0007254835218191147,-3.674428444355726e-05,5909.3515625,5958.46875,7168.0,7168.0,86.32255506515503,136.65579295158386,1095.3061448266365,697.6323355262126,83.03739381427827,52.45295384250245,21.96596360206604,25.01266384124756,110.86005091667175,92.60140895843506,7024.469081160144,8477.408808675504,133.05785655975342,117.85110354423523,239.7432084083557,274.68990540504456,0.0,3659.40625,0.0,0.6597182750701904,5909.3515625,5958.46875,0.046875,0.0,0.000762227806262672,-49.1171875,0.0,-50.33323788642883,397.67380930042384,30.584439971775822,-3.0467002391815186,18.258641958236694,-1452.9397275153597,15.206753015518188,-34.94669699668884,-3659.40625,-0.6597182750701904,-49.1171875
5,4,0.09375,0.0546875,0.0,0.0,0.0006345350993797183,-9.201021384797059e-06,7063.2265625,7103.40625,7168.0,7168.0,85.00034356117249,160.1422040462494,1329.5431555364073,709.709852420767,84.32907091535908,44.760218224109536,23.69849395751953,25.934202671051025,127.20533752441406,100.66892504692078,7321.05285928952,9301.976747676048,151.13978481292725,126.84098148345947,256.1628189086914,306.910710811615,0.0,4342.1953125,0.0,0.7133777141571045,7063.2265625,7103.40625,0.0390625,0.0,0.0006437361207645154,-40.1796875,0.0,-75.1418604850769,619.8333031156403,39.568852691249546,-2.235708713531494,26.536412477493286,-1980.9238883865282,24.298803329467773,-50.747891902923584,-4342.1953125,-0.7133777141571045,-40.1796875
6,5,0.3046875,0.2890625,0.0,0.0,0.0007149508455768228,2.658294943103101e-05,6473.1875,6526.09375,7168.0,7168.0,76.50349497795105,146.43432807922363,1353.8074310180211,713.0670886372234,93.69506585373489,48.950270705117596,23.34084963798523,26.129151344299316,119.49083304405212,97.23577761650085,7102.737326193963,8798.03731682015,143.06632900238037,123.60168290138245,239.67205619812012,290.24485754966736,0.0,4230.3125,0.0,0.7200061678886414,6473.1875,6526.09375,0.015625,0.0,0.0006883678961457917,-52.90625,0.0,-69.93083310127258,640.7403423807978,44.74479514861729,-2.788301706314087,22.25505542755127,-1695.2999906261866,19.464646100997925,-50.57280135154724,-4230.3125,-0.7200061678886414,-52.90625
7,6,0.140625,0.1640625,0.0,0.0,0.0007667674799449742,3.9696584281045943e-05,7026.0703125,6974.140625,7168.0,7168.0,83.00801396369934,155.66282057762146,1354.2924307183366,716.8458697197856,86.35310806417648,46.04824693142232,23.82844853401184,25.64682126045227,126.35603857040405,100.06018543243408,7236.0055787168085,9071.200458776922,150.42072367668152,125.94506978988647,253.87423276901245,301.56313610076904,0.0,4402.0859375,0.0,0.6990071535110474,7026.0703125,6974.140625,-0.0234375,0.0,0.0007270708956639282,51.9296875,0.0,-72.65480661392212,637.446560998551,40.30486113275416,-1.8183727264404297,26.29585313796997,-1835.194880060114,24.475653886795044,-47.68890333175659,-4402.0859375,-0.6990071535110474,51.9296875
8,7,0.3828125,0.359375,0.0,0.0,0.0007493073353543878,8.727327804081142e-05,6117.75,5945.8671875,7168.0,7168.0,72.90011692047119,137.07149863243103,1342.7138958746038,694.0456327475462,98.32631692236893,52.29387634566984,22.534987926483154,23.299910306930542,114.39365291595459,89.15067601203918,7038.852064559764,8785.115660752077,137.16255593299866,112.6868543624878,230.27771162986755,269.72412848472595,0.0,3762.15625,0.0,0.6611260771751404,6117.75,5945.8671875,0.0234375,0.0,0.0006620340573135763,171.8828125,0.0,-64.17138171195984,648.6682631270577,46.032440576699095,-0.7649223804473877,25.242976903915405,-1746.2635961923133,24.475701570510864,-39.4464168548584,-3762.15625,-0.6611260771751404,171.8828125
9,8,0.2734375,0.28125,0.0,0.0,0.0007488494738936424,0.0001040944189298898,6332.078125,6283.3671875,7168.0,7168.0,76.89779472351074,144.5529181957245,1317.5052726060098,695.4814628085006,93.21463672362576,49.58737664703895,21.97661519050598,23.140987634658813,114.92500829696655,89.53767895698547,7219.542659122872,9196.92144795937,137.13611245155334,112.91694784164429,234.1822793483734,277.462443113327,0.0,4298.3828125,0.0,0.6516216993331909,6332.078125,6283.3671875,-0.0078125,0.0,0.0006447550549637526,48.7109375,0.0,-67.65512347221375,622.0238097975092,43.62726007658681,-1.164372444152832,25.38732933998108,-1977.3787888364986,24.219164609909058,-43.28016376495361,-4298.3828125,-0.6516216993331909,48.7109375
10,9,0.28125,0.359375,0.0,0.0,0.000817956228274852,0.0001463514199713245,6532.109375,6423.078125,7168.0,7168.0,76.76470732688904,144.73364400863647,1361.4817751463122,710.0577803034353,93.37624345360075,49.52545794792726,23.73345708847046,25.465274333953857,121.4333393573761,98.60245275497437,7119.478098643641,8626.4182708892,145.39990258216858,124.30501127243042,242.50367140769958,289.1481671333313,0.0,4113.59375,0.0,0.723059892654419,6532.109375,6423.078125,-0.078125,0.0,0.0006716048083035275,109.03125,0.0,-67.96893668174744,651.4239948428769,43.85078550567349,-1.7318172454833984,22.830886602401733,-1506.9401722455596,21.09489130973816,-46.644495725631714,-4113.59375,-0.723059892654419,109.03125
